x,y,z,vx,vy,vz,gmag,bprp
-8.386,0.018,-0.017,112.456,159.263,-48.785,5.843,1.016
-8.281,-0.012,-0.067,-2.526,240.353,19.279,6.943,1.420
-8.294,-0.017,0.128,-38.493,234.596,-7.023,6.301,1.075
-8.273,-0.059,-0.046,28.100,249.472,-11.437,4.346,0.737
-8.371,-0.046,-0.023,-13.586,236.822,0.478,5.095,0.855
-8.285,0.068,-0.042,-25.360,247.592,-11.101,8.514,2.365
-8.310,-0.088,-0.016,2.248,214.819,9.439,4.927,0.876
-8.233,0.064,0.067,-35.466,194.651,-27.097,7.449,1.660
-8.298,-0.039,0.122,-47.871,230.057,-0.031,5.199,0.831
-8.371,0.013,0.099,24.049,218.444,-13.415,2.679,1.031
-8.372,-0.021,0.096,-18.070,192.812,-20.663,6.193,1.119
-8.389,0.045,0.038,-15.247,218.312,2.514,6.480,1.323
-8.347,0.051,0.102,36.748,221.209,2.896,8.416,2.281
-8.320,0.038,0.120,-22.983,219.938,4.862,5.146,0.925
-8.377,0.050,-0.009,26.039,208.126,-35.985,2.345,1.086
-8.348,-0.077,0.071,-25.832,231.976,2.055,7.053,1.539
-8.345,0.087,0.049,62.164,238.220,-8.825,7.983,1.928
-8.310,0.058,-0.050,-3.057,214.025,-10.209,5.628,1.088
-8.359,0.075,0.059,-13.566,178.477,-2.377,6.739,1.413
-8.268,0.014,0.124,5.789,237.985,4.695,6.001,1.118
-8.345,-0.007,0.119,-16.681,230.827,6.826,7.910,1.918
-8.271,0.063,0.102,-72.709,187.764,2.043,6.656,1.364
-8.274,-0.070,-0.036,5.189,227.388,6.046,7.522,1.638
-8.248,-0.084,0.017,27.993,251.686,-25.684,5.814,1.057
-8.229,-0.068,0.013,60.409,267.469,-26.271,0.590,1.177
-8.376,-0.032,-0.026,-50.091,218.430,-31.542,5.134,0.857
-8.398,-0.014,0.043,33.256,243.074,6.112,6.060,0.683
-8.258,-0.037,-0.053,-40.717,201.363,-13.302,4.188,0.688
-8.201,0.009,0.034,40.942,219.419,24.699,5.034,0.881
-8.243,-0.027,0.107,-23.458,205.783,-6.219,4.245,0.815
-8.206,0.019,0.057,-32.066,256.354,-36.521,4.551,0.843
-8.239,0.058,-0.023,9.616,244.356,1.464,0.459,1.012
-8.238,0.015,-0.047,36.851,255.543,-12.226,5.679,0.964
-8.227,0.063,0.058,-18.346,234.307,-5.643,7.601,2.079
-8.251,0.022,-0.054,-9.938,229.316,-2.921,3.537,0.584
-8.394,0.027,0.009,4.542,214.032,-8.781,8.171,1.867
-8.296,0.074,0.097,-20.870,203.684,3.440,8.274,2.066
-8.389,0.034,-0.001,3.265,230.950,-1.502,4.857,0.896
-8.387,-0.043,0.052,18.439,246.538,-2.638,6.332,1.229
